

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
195.757  061.331  019.745: require('plugin/lsp')
197.740  000.215  000.215: require('vim.treesitter.language')
197.783  000.499  000.284: require('vim.treesitter.query')
198.127  000.337  000.337: require('vim.treesitter._range')
198.155  001.148  000.312: require('vim.treesitter.languagetree')
198.177  001.406  000.258: require('vim.treesitter')
198.188  001.598  000.192: require('nvim-treesitter.compat')
201.975  003.056  003.056: require('nvim-treesitter.parsers')
202.314  000.323  000.323: require('nvim-treesitter.utils')
202.341  003.860  000.480: require('nvim-treesitter.ts_utils')
202.359  004.167  000.307: require('nvim-treesitter.tsrange')
202.578  000.213  000.213: require('nvim-treesitter.caching')
202.617  006.265  000.287: require('nvim-treesitter.query')
202.734  006.699  000.435: require('nvim-treesitter.configs')
203.108  000.024  000.024: require('vim.keymap')
203.569  000.329  000.329: require('nvim-treesitter.textobjects.repeatable_move')
204.413  000.238  000.238: require('gitsigns.async')
204.621  000.195  000.195: require('gitsigns.debug.log')
204.997  000.366  000.366: require('gitsigns.config')
205.030  001.123  000.324: require('gitsigns')
206.355  000.568  000.568: require('gitsigns.util')
206.972  000.295  000.295: require('gitsigns.system.compat')
206.986  000.616  000.321: require('gitsigns.system')
207.195  000.197  000.197: require('gitsigns.message')
207.469  000.264  000.264: require('gitsigns.git.version')
207.507  002.155  000.510: require('gitsigns.git')
208.083  000.241  000.241: require('gitsigns.cache')
208.325  000.230  000.230: require('gitsigns.signs')
208.534  000.197  000.197: require('gitsigns.status')
208.735  000.191  000.191: require('gitsigns.debounce')
208.925  000.178  000.178: require('gitsigns.diff')
209.192  000.257  000.257: require('gitsigns.hunks')
209.258  001.744  000.450: require('gitsigns.manager')
209.290  004.252  000.353: require('gitsigns.attach')
210.356  000.497  000.497: require('gitsigns.repeat')
210.720  000.351  000.351: require('gitsigns.popup')
211.070  001.775  000.927: require('gitsigns.actions')
211.167  015.397  001.195: require('plugin/treesitter')
213.174  001.580  001.580: require('mini.ai')
